job_title,matched_standard_role
"Engineering Department, General Employees and Staff",Information Technology Generalist
"Technical Department, Technical Management Section, Section Manager",Information Technology Manager
No Technical Department,Information Technology Generalist
"Engineering Department, Design Section 1 TCR",Information Technology Generalist
"Engineering Department, Section Manager Class",Information Technology Manager
"General Manager, Engineering Department",Information Technology Manager
"Engineering Department, General Manager Class",Information Technology Manager
Technical Manager,Information Technology Manager
Engineering Dept. and Content Division,Information Technology Generalist
Technical Director,Information Technology Manager
Technical Departments,Information Technology Generalist
Head of Technology,Technology Manager
Head of Technology,Technology Manager
Technological,Chief Technology Officer
Technology,Technology Development Engineer
Technology Development General Employees and Staff,Technology Development Engineer
"General Manager, IT Solution Technology Development Department, Technology Development Division, Technology Development Division",Development Manager
Chief of the Technology Development Division,Development Manager
"Technology Development Division, General Manager",Development Manager
"General Manager, Technology Development Division, Executive Officer",Development Manager
Technical Developers,Technology Development Engineer
"Director, Technology Development Department",Director of Information Technology
"Deputy Director, Information Systems Group Leader",Director of Information Technology
次長グループ マネージャー,Information Technology Manager
singer,Musician
Full-time employee,Information Technology Generalist
Full-time employee General employee,Information Technology Generalist
Full-time/Technician,Technician
"Shun Takeuchi, Furukawa Branch, Branch Manager, Sales Position",Sales Manager
dentist,Dentist
dentistry,Dentist
Dental assistant,Dentist
dentist,Dentist
dental technician,Dentist
Dental hygienist,Dentist
"Shinichi Nagai, Kagoshima Branch, Branch Manager, Sales Position",Sales Manager
"Ryo Nagano, Deputy Manager, Legal Department, Clerical Staff",Administration Manager
Recruitment Consultant,Recruiter
"Yusuke Ikenaga, Matsue Branch, Chief, Clerical Staff",Administrative Employee
"Isamu Ikeda, Kasukabe Branch, Deputy Branch Manager, Sales Position",Sales Manager
Okinawa Branch Manager,Information Technology Manager
"Project Manager, Okinawa Development Department 2",Project Manager
"Project Leader, Okinawa Development Department 2",Project Manager
"Keisuke Izumi, Shikoku Mass Sales Branch, Deputy Branch Manager, Sales Position",Sales Manager
juridical person,Legal Administrative Professional
"Deputy General Manager, Corporate Product & Business Strategy Division",Corporate Board Member
"Business Innovation Promotion Division, Corporate Business Division",Business Development Specialist
"Corporate Planning Department, Section Manager Class",Planning Manager
Corporate Sales,Sales Employee
"Senior Managing Director, Corporate Affairs Department",Managing Director
Legal,Lawyer
Legal Group Manager,Legal Manager
Minister of Justice,Legal Manager
law,Lawyer
law office,Lawyer
"General Manager, Custom Housing Division",Information Technology Manager
Ryunosuke Tsuda Yachiyo Branch - Sales,Sales Employee
Marketing Representative,Marketing Manager
"General Manager, Dispatch Business",Information Technology Manager
manager,Information Technology Manager
"Temporary employees (currently created by IT Helpdesk, PC Kitting, and Master)",Contract Worker
"General Manager, Distribution BS Division 2 System 4th Department 2",Logistics Manager
Maritime Self-Defense Force Senior Consultant,Consultant
Overseas Sales,Salesperson
"General Manager, Overseas Business Strategy Department",Sales Manager
"General Manager, Overseas Business Department",Sales Manager
"Manager, Overseas Business Division",Sales Manager
